,URL,ID,Type,Index,Text,split_0,split_1,split_2,split_tokens,split_anchor_span,group
0,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,0,"Natural language processing tasks, such as question answering, machine translation, reading comprehension, and summarization, are typically approached with supervised learning on taskspecific datasets.","Natural language processing tasks, such as question answering, machine translation, reading comprehension, and summarization, are typically approached with supervised learning on taskspecific datasets.",,,"['Natural', 'language', 'processing', 'tasks,', 'such', 'as', 'question', 'answering,', 'machine', 'translation,', 'reading', 'comprehension,', 'and', 'summarization,', 'are', 'typically', 'approached', 'with', 'supervised', 'learning', 'on', 'taskspecific', 'datasets.']",,
1,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,1,We demonstrate that language models begin to learn these tasks without any explicit supervision when trained on a new dataset of millions of webpages called WebText.,We demonstrate that language models begin to learn these tasks without any explicit supervision when trained on a new dataset of millions of webpages called WebText.,,,"['We', 'demonstrate', 'that', 'language', 'models', 'begin', 'to', 'learn', 'these', 'tasks', 'without', 'any', 'explicit', 'supervision', 'when', 'trained', 'on', 'a', 'new', 'dataset', 'of', 'millions', 'of', 'webpages', 'called', 'WebText.']",,
2,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,2,"When conditioned on a document plus questions, the answers generated by the language model reach 55 F1 on the CoQA dataset matching or exceeding the performance of 3 out of 4 baseline systems without using the 127,000+ training examples.","When conditioned on a document plus questions, the answers generated by the language model reach 55 F1 on the CoQA dataset matching or exceeding the performance of 3 out of 4 baseline systems without using the 127,000+ training examples.",,,"['When', 'conditioned', 'on', 'a', 'document', 'plus', 'questions,', 'the', 'answers', 'generated', 'by', 'the', 'language', 'model', 'reach', '55', 'F1', 'on', 'the', 'CoQA', 'dataset', 'matching', 'or', 'exceeding', 'the', 'performance', 'of', '3', 'out', 'of', '4', 'baseline', 'systems', 'without', 'using', 'the', '127,000+', 'training', 'examples.']",,
3,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,3,The capacity of the language model is essential to the success of zero-shot task transfer and increasing it improves performance in a log-linear fashion across tasks.,The capacity of the language model is essential to the success of zero-shot task transfer and increasing it improves performance in a log-linear fashion across tasks.,,,"['The', 'capacity', 'of', 'the', 'language', 'model', 'is', 'essential', 'to', 'the', 'success', 'of', 'zero-shot', 'task', 'transfer', 'and', 'increasing', 'it', 'improves', 'performance', 'in', 'a', 'log-linear', 'fashion', 'across', 'tasks.']",,
4,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,4,"Our largest model, GPT-2, is a 1.5B parameter Transformer that achieves state of the art results on 7 out of 8 tested language modeling datasets in a zero-shot setting but still underfits WebText.","Our largest model,","GPT-2,",is a 1.5B parameter Transformer that achieves state of the art results on 7 out of 8 tested language modeling datasets in a zero-shot setting but still underfits WebText.,"['Our', 'largest', 'model,', 'GPT-2,', 'is', 'a', '1.5B', 'parameter', 'Transformer', 'that', 'achieves', 'state', 'of', 'the', 'art', 'results', 'on', '7', 'out', 'of', '8', 'tested', 'language', 'modeling', 'datasets', 'in', 'a', 'zero-shot', 'setting', 'but', 'still', 'underfits', 'WebText.']","(3, 4)",is
5,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,5,Samples from the model reflect these improvements and contain coherent paragraphs of text.,Samples from the model reflect these improvements and contain coherent paragraphs of text.,,,"['Samples', 'from', 'the', 'model', 'reflect', 'these', 'improvements', 'and', 'contain', 'coherent', 'paragraphs', 'of', 'text.']",,
6,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,6,These findings suggest a promising path towards building language processing systems which learn to perform tasks from their naturally occurring demonstrations.,These findings suggest a promising path towards building language processing systems which learn to perform tasks from their naturally occurring demonstrations.,,,"['These', 'findings', 'suggest', 'a', 'promising', 'path', 'towards', 'building', 'language', 'processing', 'systems', 'which', 'learn', 'to', 'perform', 'tasks', 'from', 'their', 'naturally', 'occurring', 'demonstrations.']",,
7,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Title,0,Language Models are Unsupervised Multitask Learners.,Language Models are Unsupervised Multitask Learners.,,,"['Language', 'Models', 'are', 'Unsupervised', 'Multitask', 'Learners.']",,
8,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,0,Contextualized representations trained over large raw text data have given remarkable improvements for NLP tasks including question answering and reading comprehension.,Contextualized representations trained over large raw text data have given remarkable improvements for NLP tasks including question answering and reading comprehension.,,,"['Contextualized', 'representations', 'trained', 'over', 'large', 'raw', 'text', 'data', 'have', 'given', 'remarkable', 'improvements', 'for', 'NLP', 'tasks', 'including', 'question', 'answering', 'and', 'reading', 'comprehension.']",,
9,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,1,"There have been works showing that syntactic, semantic and word sense knowledge are contained in such representations, which explains why they benefit such tasks.","There have been works showing that syntactic, semantic and word sense knowledge are contained in such representations, which explains why they benefit such tasks.",,,"['There', 'have', 'been', 'works', 'showing', 'that', 'syntactic,', 'semantic', 'and', 'word', 'sense', 'knowledge', 'are', 'contained', 'in', 'such', 'representations,', 'which', 'explains', 'why', 'they', 'benefit', 'such', 'tasks.']",,
10,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,2,"However, relatively little work has been done investigating commonsense knowledge contained in contextualized representations, which is crucial for human question answering and reading comprehension.","However, relatively little work has been done investigating commonsense knowledge contained in contextualized representations, which is crucial for human question answering and reading comprehension.",,,"['However,', 'relatively', 'little', 'work', 'has', 'been', 'done', 'investigating', 'commonsense', 'knowledge', 'contained', 'in', 'contextualized', 'representations,', 'which', 'is', 'crucial', 'for', 'human', 'question', 'answering', 'and', 'reading', 'comprehension.']",,
11,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,3,"We study the commonsense ability of GPT, BERT, XLNet, and RoBERTa by testing them on seven challenging benchmarks, finding that language modeling and its variants are effective objectives for promoting models' commonsense ability while bi-directional context and larger training set are bonuses.",We study the commonsense ability of,"GPT,","BERT, XLNet, and RoBERTa by testing them on seven challenging benchmarks, finding that language modeling and its variants are effective objectives for promoting models' commonsense ability while bi-directional context and larger training set are bonuses.","['We', 'study', 'the', 'commonsense', 'ability', 'of', 'GPT,', 'BERT,', 'XLNet,', 'and', 'RoBERTa', 'by', 'testing', 'them', 'on', 'seven', 'challenging', 'benchmarks,', 'finding', 'that', 'language', 'modeling', 'and', 'its', 'variants', 'are', 'effective', 'objectives', 'for', 'promoting', ""models'"", 'commonsense', 'ability', 'while', 'bi-directional', 'context', 'and', 'larger', 'training', 'set', 'are', 'bonuses.']","(6, 7)",testing
12,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,4,We additionally find that current models do poorly on tasks require more necessary inference steps.,We additionally find that current models do poorly on tasks require more necessary inference steps.,,,"['We', 'additionally', 'find', 'that', 'current', 'models', 'do', 'poorly', 'on', 'tasks', 'require', 'more', 'necessary', 'inference', 'steps.']",,
